B,S,V,Xi,experiment,seed,size
0.001518734375,0.11896178125,0.19093909375,-5.55e-05,original_berea,42,400
0.0015327734839476813,0.15249350373119028,0.2746954313419984,-9.233478719914716e-05,2019-02-19_11_30,14300631,232
0.001618433570074823,0.15585569647898445,0.2733832861577794,-9.809389374765562e-05,2019-02-19_11_30,14300631,296
0.001631021499633789,0.1534435130931713,0.2641694457442672,-9.921745017722801e-05,2019-02-19_11_30,568,384
0.0016480993341516565,0.15355798933241102,0.2638154383058901,-9.934107462565105e-05,2019-02-19_11_30,2348,384
0.0016632874806722004,0.1533875995212131,0.26329165917855724,-9.706285264756944e-05,2019-02-19_11_30,9,384
0.0016621218787299262,0.15395913300690828,0.26397071061310945,-9.889955873842593e-05,2019-02-19_11_30,435001,384
0.0016603204939100477,0.15294188040274162,0.26344011448047777,-9.473164876302083e-05,2019-02-19_11_30,27,384
0.0016505718231201172,0.15396252384892217,0.2642187895598235,-9.99768575032552e-05,2019-02-19_11_30,23210,384
0.0016622101819073712,0.15444236331515843,0.26435442324037906,-0.00010063030101634838,2019-02-19_11_30,751,384
0.0016396310594346789,0.15436589276349102,0.2655764685736762,-0.00010063030101634838,2019-02-19_11_30,14300631,384
0.0016490530084680628,0.15378330371997975,0.2650953045597783,-9.833441840277778e-05,2019-02-19_11_30,74,384
0.0016361254232901115,0.1541712725604022,0.2652880880567763,-9.87935949254919e-05,2019-02-19_11_30,13,384
0.0014792899408284023,0.12287174271734183,0.2401241394515248,-2.3113905325443786e-05,2019-02-19_11_30,14300631,104
0.00294435593991807,0.13236800182066455,0.1711566909421939,3.555985434683659e-05,2019-02-19_11_30,14300631,52
0.0018138885498046875,0.13550567626953125,0.25522613525390625,7.62939453125e-06,2019-02-19_11_30,14300631,64
0.0014732269395853579,0.14241510096101934,0.26859064558363027,-6.32693553611921e-05,2019-02-19_11_30,14300631,168
0.002098728109289099,0.1354538599650065,0.24030786090426975,-8.512426305700231e-06,2019-02-24_22_44,435001,384
0.0029799157942649065,0.13818559399180702,0.2024493627674101,9.956759217114246e-05,2019-02-24_22_44,14300631,52
0.002034214409807909,0.13574197542593727,0.25091511886018597,-4.742747221289953e-06,2019-02-24_22_44,14300631,296
0.002129077911376953,0.13445903636791087,0.23744899255258065,-3.5851090042679396e-06,2019-02-24_22_44,2348,384
0.002111549730654116,0.13447885160092954,0.2386999836674443,-3.5851090042679396e-06,2019-02-24_22_44,13,384
0.002097430052580657,0.1348290973239475,0.2388858265346951,-7.223199915002894e-06,2019-02-24_22_44,74,384
0.002101129955715603,0.1366424913759585,0.24331795727765118,-1.0825969554759837e-05,2019-02-24_22_44,23210,384
0.0019504022048874492,0.1345811956722293,0.25751291245541025,8.80904301119357e-07,2019-02-24_22_44,14300631,232
0.001975349908966773,0.12217832555757852,0.23733002389622213,6.222974510696405e-05,2019-02-24_22_44,14300631,104
0.0021161061746102793,0.13456447036178024,0.23972479502360025,-4.114928068938079e-06,2019-02-24_22_44,14300631,384
0.0020933857670536746,0.13602108425564235,0.2412436979788321,-8.194534866898149e-06,2019-02-24_22_44,568,384
0.0022106170654296875,0.1302642822265625,0.24532318115234375,6.103515625e-05,2019-02-24_22_44,14300631,64
0.0021150730274341724,0.13528802659776476,0.2394325468275282,-5.068602385344329e-06,2019-02-24_22_44,9,384
0.0020292591242846345,0.12895222573156245,0.24618633415667854,2.087888726919339e-05,2019-02-24_22_44,14300631,168
0.00209622029904966,0.1351056628757053,0.23844740125868055,-6.658059579354746e-06,2019-02-24_22_44,751,384
0.0021064634676332826,0.13625159087004485,0.24201620949639213,-9.466100622106481e-06,2019-02-24_22_44,27,384
0.0011235343085394965,0.127606851083261,0.22637421996505172,-3.4773791277850115e-05,2019-02-25_12_13,751,384
0.0011364265724464698,0.12672728079336662,0.22289113645200376,-3.650453355577257e-05,2019-02-25_12_13,23210,384
0.0011285234380651404,0.12707590173791955,0.22431371830127858,-3.1453591805917245e-05,2019-02-25_12_13,27,384
0.0019202321347291762,0.12734695038689123,0.19535161583978153,4.978379608557123e-05,2019-02-25_12_13,14300631,52
0.001134934248747649,0.12816203082049335,0.22401018495912906,-3.9347895869502315e-05,2019-02-25_12_13,568,384
0.0011483386710838036,0.1277804551301179,0.22445844720911096,-3.6840085630063654e-05,2019-02-25_12_13,13,384
0.0011420779758029515,0.12770447907624422,0.22376138192635994,-3.9877714934172455e-05,2019-02-25_12_13,9,384
0.001154025395711263,0.128218827424226,0.22382061569779008,-3.69990313494647e-05,2019-02-25_12_13,74,384
0.001121337890625,0.129268798828125,0.23078152465820312,-3.2440185546875e-05,2019-02-25_12_13,14300631,320
0.0012248573896018696,0.13201648284062487,0.22917702396572226,-3.787888494813236e-05,2019-02-25_12_13,14300631,232
0.0011470700464434485,0.12839873748840147,0.22843376441178212,-3.277508242354846e-05,2019-02-25_12_13,14300631,296
0.0011209381951226129,0.1277264842280635,0.22515960975929541,-3.4968058268229164e-05,2019-02-25_12_13,14300631,384
0.0011357466379801433,0.12866376947473596,0.22609641816880968,-3.7440547236689815e-05,2019-02-25_12_13,2348,384
0.001074931412894376,0.12784807956104252,0.22876946159122086,-3.407921810699589e-05,2019-02-25_12_13,14300631,360
0.00188446044921875,0.13561248779296875,0.21480178833007812,1.1444091796875e-05,2019-02-25_12_13,14300631,64
0.0012797102583067819,0.13009394913518435,0.22986778846153846,-8.000967228038234e-06,2019-02-25_12_13,14300631,104
0.0011040634579128688,0.1290469699435764,0.22882313198513454,-4.2138276276765045e-05,2019-02-25_12_13,435001,384
0.001296810887053234,0.12873921890184645,0.2199645607250837,-2.4675048590864917e-05,2019-02-25_12_13,14300631,168
