loss_d	loss_g	D_x	D_G_z1	D_G_z2
1.28121	0.99214	0.62406	0.53187	0.34826
0.97671	1.25217	0.72242	0.41037	0.26416
0.91163	1.94561	0.64963	0.30801	0.12857
0.61414	2.65349	0.76565	0.17315	0.05962
0.49263	3.28056	0.82089	0.09852	0.03066
0.54038	3.29092	0.79094	0.1065	0.03624
0.50162	3.58918	0.81766	0.07936	0.02532
0.49141	3.75022	0.84478	0.06957	0.02204
0.45037	3.97461	0.86894	0.05759	0.01478
0.46215	3.53492	0.85548	0.06194	0.02508
0.43753	3.88505	0.87379	0.04634	0.01577
0.41844	3.92624	0.87472	0.03807	0.01555
0.45544	4.96029	0.87001	0.04746	0.01671
0.42253	3.78594	0.87103	0.03889	0.02007
1.43207	0.79829	0.48965	0.49766	0.44851
1.55979	0.68623	0.49101	0.56042	0.51265
1.51306	0.6862	0.50732	0.55624	0.50897
1.47982	0.73234	0.49877	0.5359	0.4817
1.39118	0.90703	0.48173	0.47475	0.3941
